City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,holualoa,19.6228,-155.9522,78.84,75,0,0.0,US,1729883146
1,bilibino,68.0546,166.4372,0.64,92,100,2.91,RU,1729883290
2,adamstown,-25.066,-130.1015,69.24,75,100,17.13,PN,1729883291
3,choibalsan,48.0667,114.5,32.22,41,100,4.61,MN,1729883293
4,ocean shores,46.9737,-124.1563,55.02,68,0,18.41,US,1729883294
5,yuzhno-kurilsk,44.0306,145.8556,52.11,87,0,8.1,RU,1729883295
6,jamestown,42.097,-79.2353,58.01,53,100,8.05,US,1729883296
7,weno,7.4515,151.8468,82.35,83,100,0.0,FM,1729883297
8,tucuma,-0.1833,-50.05,87.39,60,74,9.46,BR,1729883298
9,tolanaro,-25.0319,46.9987,70.7,85,100,5.37,MG,1729883300
10,port-aux-francais,-49.35,70.2167,36.05,67,48,23.09,TF,1729883301
11,pemangkat,1.1667,108.9667,81.88,80,100,11.14,ID,1729883220
12,olonkinbyen,70.9221,-8.7187,29.19,64,100,19.22,SJ,1729883303
13,east grand forks,47.93,-97.0245,55.63,38,20,17.27,US,1729883304
14,tineo,43.3376,-6.4145,39.54,94,6,4.25,ES,1729883305
15,tofol,5.3248,163.0078,83.89,64,17,8.43,FM,1729883307
16,ushuaia,-54.8,-68.3,40.66,81,75,37.98,AR,1729883285
17,sisimiut,66.9395,-53.6735,30.4,85,100,23.06,GL,1729883309
18,grytviken,-54.2811,-36.5092,34.79,100,100,7.2,GS,1729883310
19,port elizabeth,-33.918,25.5701,60.31,96,63,3.0,ZA,1729883311
20,belmonte,-15.8631,-38.8828,79.34,74,100,12.59,BR,1729883312
21,kichmengskiy gorodok,59.9816,45.7854,40.69,86,100,7.49,RU,1729883313
22,yellowknife,62.456,-114.3525,30.42,83,31,1.01,CA,1729883315
23,hirara,24.8,125.2833,82.22,80,100,22.28,JP,1729883316
24,guerrero negro,27.9769,-114.0611,75.07,47,6,11.99,MX,1729883154
25,portel,-1.9356,-50.8211,92.82,45,87,5.97,BR,1729883318
26,port alfred,-33.5906,26.891,61.18,85,39,5.01,ZA,1729883319
